"date","sales","sum(DOLLARS)","average(feature   = A)","average(feature   = A+)","average(feature   = B)","average(feature   = C)","average(disp = 0)","average(disp = 1)","average(disp = 2)","average(disc = 0)"
4/28/91 12:00 AM,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/5/91 12:00 AM,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/12/91 12:00 AM,5.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/19/91 12:00 AM,5.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/26/91 12:00 AM,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/2/91 12:00 AM,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/9/91 12:00 AM,14.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/16/91 12:00 AM,10.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/23/91 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/30/91 12:00 AM,5.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/7/91 12:00 AM,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/14/91 12:00 AM,11.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/21/91 12:00 AM,18.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/28/91 12:00 AM,18.0,10.499999999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/4/91 12:00 AM,4.0,2.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/11/91 12:00 AM,10.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/18/91 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/25/91 12:00 AM,19.0,11.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
